muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,timestamp
WV_Beckley,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,50.0,35.0,3.0,3.0,1.0,1.0,0.8888888888888888,2024-06-28 16:42:59
WV_Huntington,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,35.0,3.0,3.0,1.5,1.0,0.1428571428571428,2024-06-28 16:42:46
WV_Parkersburg,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,32.5,35.0,2.0,2.0,2.0,2.0,0.0,2024-06-28 16:42:30
AR_HotSprings,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,35.0,60.0,3.0,3.0,2.0,2.0,0.2222222222222222,2024-06-28 18:25:21
CA_BaldwinPark,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,1.0,1.0,1.0,1.0,0.375,2024-06-28 18:23:03
CA_Blythe,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,1.0,0.0,34.0,34.0,2.5,2.0,2.0,2.0,0.1666666666666666,2024-06-28 18:22:34
CA_Irvine,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,27.5,50.0,3.0,2.0,2.0,1.0,0.8333333333333334,2024-06-28 18:19:52
CA_MammothLakes,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,1.0,45.0,45.0,2.0,2.0,2.0,1.0,0.7,2024-06-28 18:18:58
CT_Enfield,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,24.0,24.0,2.0,2.0,2.5,3.0,0.0,2024-06-28 18:12:27
FL_DeBary,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,35.0,4.0,4.0,2.0,1.0,0.25,2024-06-28 18:10:17
FL_MiamiSprings,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,40.0,40.0,3.0,3.0,1.0,1.0,0.6363636363636364,2024-06-28 18:08:52
GA_Rockmart,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,23.0,8.75,15.5,2.0,2.0,0.0833333333333333,2024-06-28 18:05:00
HI_Honolulu,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,100.0,350.0,2.0,2.0,1.0,1.0,0.7368421052631579,2024-06-28 18:04:22
IA_Hiawatha,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,45.0,174.0,174.0,1.0,1.0,0.6666666666666666,2024-06-28 18:03:18
IA_Marshalltown,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.0,1.0,1.0,1.0,1.0,1.0,32.5,35.0,2.75,2.5,2.0,1.0,0.625,2024-06-28 18:03:08
ID_Shelley,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,,,20.0,2.0,1.0,1.0,0.3,2024-06-28 18:01:42
IL_Deerfield,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,0.0,35.0,35.0,1.0,1.0,5.0,2.0,0.1428571428571428,2024-06-28 18:00:26
IL_Grayslake,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,100.0,3.0,3.0,2.0,2.0,0.7,2024-06-28 17:59:31
IL_HanoverPark,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,11.0,10.0,4.0,4.0,1.25,1.0,0.2857142857142857,2024-06-28 17:59:20
IL_Hometown,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,10.0,2.0,2.0,2.0,4.0,0.5,2024-06-28 17:59:01
