"","GEOID","statename","place","type","restrict_sf_permit","restrict_mf_permit","limit_sf_units","limit_mf_units","limit_mf_dwellings","limit_mf_dwelling_units","min_lot_size","open_space","inclusionary","half_acre_less","half_acre_more","one_acre_more","two_acre_more","max_den_cat1","max_den_cat2","max_den_cat3","max_den_cat4","max_den_cat5","council_nz","planning_nz","countybrd_nz","pubhlth_nz","site_plan_nz","env_rev_nz","council_rz","planning_rz","zoning_rz","countybrd_rz","countyzone_rz","townmeet_rz","env_rev_rz","total_nz","total_rz","adu","height_ft_median","height_ft_mode","height_st_median","height_st_mode","parking_median","parking_mode","mf_per","timestamp.x","maxden5","maxden4","maxden3","maxden2","maxden1","sindex1","sindex2","sindex3","sindex4","sindex5","sindex6","sindex7","sindex8","height_st_median_sc","height_st_mode_sc","sindex9","sindex10","sindex11","sindex9_st","sindex10_st","zri","zri_st","add_index","zri_up","zri_up_st","wt_all_2019","st_wt_all_2019","wt_msa_2019","st_wt_msa_2019","wt_lmsa_2019","st_wt_lmsa_2019","timestamp.y"
"546","1367984","GA","StMarys","City",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,35,35,NA,NA,1,1,0.6,"7/16/2019 14:40",1,0,0,0,0,0,0,1,2,2,1,0,0,NA,NA,35,1,0.6,0.0490862965607648,-0.88242995830793,1.15002113563049,-0.864541305058876,6,0.756894065339665,-0.90823961346337,10.821249131927,0.684203279006067,NA,NA,NA,NA,"7/16/2019 14:40"
"547","1371660","GA","SocialCircle","City",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,10,10,5,5,2,2,0.125,"7/16/2019 14:40",0,0,1,0,0,0,1,4,2,2,3,0,0,70,70,10,2,0.125,-1.93381470984067,0.164805905663859,2.152012403602,0.199852839987443,12,1.45377344687641,-0.112865878830604,23.830295816965,1.50673608368802,15.8614379058263,1.79813540941305,7.2646222728027,1.57926571147885,"7/16/2019 14:40"
"548","1374180","GA","SugarHill","City",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,3,3,0,40,30,4,4,4.65,1,0.307692307692308,"11/19/2019 11:28",0,0,1,0,0,0,1,1,3,3,3,0,0,56,56,40,4.65,0.307692307692308,0.445666497841052,2.9399809451891,1.52686534581948,-0.464227665867392,11,0.617084989251705,-1.06780878702454,11.6181188025253,0.734587558576463,9.14705603272281,1.03695802625072,4.10707254061268,0.892841856654929,"11/19/2019 11:28"
"549","1374936","GA","Suwanee","City",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,3,3,1,22.5,10,1,1,2,2,0.25,"12/14/2021 15:18",0,0,1,0,0,0,1,2,3,3,3,0,1,14,14,22.5,2,0.25,-0.942364206639952,0.164805905663859,1.91906643889133,-0.0476007345852765,13,1.61348776739114,0.0694218727484533,5.59764194246336,0.353926328193991,5.06718393358211,0.574442425149613,3.25530237721074,0.707674429828423,"12/14/2021 15:18"
"550","1375300","GA","Tallapoosa","City",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,NA,NA,NA,NA,2,2,0.636363636363636,"1/4/2022 21:25",0,0,1,0,0,0,0,3,2,3,3,0,0,NA,NA,NA,2,0.636363636363636,NA,0.164805905663859,1.39985358727831,-0.599149572339637,11,NA,NA,24.9667589276245,1.57859209377548,16.7594973815482,1.89994412011394,13.8695810482415,3.0151263148351,"1/4/2022 21:25"
"551","1378044","GA","Tyrone","Town",0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,3,3,0,35,35,NA,NA,2,3,0.25,"7/16/2019 14:40",1,0,0,0,0,0,1,3,3,3,1,1,0,NA,NA,35,2,0.25,0.0490862965607648,0.164805905663859,3.47686371275334,1.60721438254105,12,2.4533907144224,1.02803359438696,10.4350239965017,0.659783131121949,7.70654113054167,0.873653736388857,4.62141182574976,1.00465474472821,"7/16/2019 14:40"
"552","1378324","GA","Union","City",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,1,25,25,20,20,2,2,0.357142857142857,"12/1/2021 11:33",0,0,1,0,0,0,1,3,3,3,3,0,1,280,280,25,2,0.357142857142857,-0.744074105999809,0.164805905663859,2.31126753196319,0.369026196696838,14,1.94080458992129,0.443000443791606,3.50088715459546,0.22135323209012,3.26620884404108,0.370274486580499,2.1567436118334,0.468857306920305,"12/1/2021 11:33"
"553","1379528","GA","VillaRica","City",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,30,30,NA,NA,2.5,2,0.266666666666667,"11/20/2019 10:23",0,0,0,0,1,0,1,1,1,2,5,0,1,NA,NA,30,2.5,0.266666666666667,-0.347493904719522,0.688423837649754,-0.11061683154249,-2.20369037169541,11,0.183484300292294,-1.56269299289166,6.90056600083203,0.436307290147964,5.88656052309634,0.667331233087286,3.37707799035852,0.734147389208375,"11/20/2019 10:23"
"554","1380508","GA","WarnerRobins","City",0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,50,70,30,35,1,2,0.25,"7/16/2019 14:40",1,0,0,0,0,0,1,3,2,3,1,0,0,420,490,50,1,0.25,1.23882690040163,-0.88242995830793,2.60561117726406,0.681701229608144,10,1.73387181775489,0.206820559328743,4.7668746824744,0.301398780177535,4.26119431888082,0.483071234566621,NA,NA,"7/16/2019 14:40"
"555","1380704","GA","Washington","City",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,3,0,30,40,1,1,5.5,5.5,0.5,"7/16/2019 14:40",0,1,0,0,0,0,0,4,1,3,2,0,0,14,14,30,5.5,0.5,-0.347493904719522,3.83013142956512,1.74130592534358,-0.236431970833169,10,0.821770143906858,-0.834194190015013,21.5451299713298,1.36225017955674,NA,NA,NA,NA,"7/16/2019 14:40"
