muni,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,max_density,open_space,inclusionary,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,adu,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf per,last_date,timestamp
NV_LasVegas,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,35,35,3,1,1,1,0.210526316,44026,4/27/2022 10:22
NV_Mesquite,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,35,35,2,2,2,2,0.538461538,43652,4/27/2022 10:22
NV_Reno,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,35,35,3,2,1,1,0.52,44652,4/27/2022 10:22
NV_Sparks,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,35,35,1,1,1,1,0.571428571,44378,4/27/2022 10:22
NV_Winnemucca,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,35.5,60,3,3,1.25,1,0.181818182,42736,4/27/2022 10:22
NY_Albion,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,36,32,,,2,2,0.6,43443,4/27/2022 10:22
NY_Amherst,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,35,35,2,2,2,2,0.428571429,44077,4/27/2022 10:22
NY_Ardsley,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,21.75,30,2,2,1,1,0.375,43647,4/27/2022 10:22
NY_Auburn,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,23.5,25,2,2,4,1,0.4,43146,4/27/2022 10:22
NY_Babylon,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,1,30,30,2,1,1,1,0.666666667,43567,4/27/2022 10:22
NY_BataviaTown,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,35,35,1,1,2,2,0.333333333,43572,10/21/2022 2:02
NY_Beacon,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,20,20,2.5,2,1,1,0.090909091,43682,4/27/2022 10:22
NY_Brightwaters,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10,10,1.75,1,,,0.5,43647,4/27/2022 10:22
NY_Brockport,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,35,35,2,2,3,3,0,43570,10/8/2022 2:09
NY_Bronxville,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,60,72,3,5,2,2,0.666666667,43510,4/27/2022 10:22
NY_Buffalo,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,27,15,3,3,7,7,0,43588,4/27/2022 10:22
NY_Canandaigua,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,,2.5,2.5,1,1,0.5,44317,4/27/2022 10:22
NY_ChestnutRidge,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,160,25,2,2,8,8.5,0.25,43027,4/27/2022 10:22
